Area Name,lat,lon,Traffic Volume,Congestion Level,hotspot_cluster
Indiranagar,12.9719,77.6412,50590,100.0,0
Indiranagar,12.9719,77.6412,30825,100.0,0
Whitefield,12.9698,77.75,7399,28.34799386357647,1
Koramangala,12.9352,77.6245,60874,100.0,2
Koramangala,12.9352,77.6245,57292,100.0,2
Jayanagar,12.925,77.5938,25379,79.03882287608127,2
Jayanagar,12.925,77.5938,25022,78.97959595139889,2
Hebbal,13.0358,77.597,31760,97.67246206775482,3
Hebbal,13.0358,77.597,38446,100.0,3
Yeshwanthpur,13.0285,77.54,15043,55.74084425048581,4
Indiranagar,12.9719,77.6412,22050,78.42982810236049,0
Indiranagar,12.9719,77.6412,37877,100.0,0
Koramangala,12.9352,77.6245,29106,90.40985493372185,2
Jayanagar,12.925,77.5938,16676,47.15579429351197,2
Jayanagar,12.925,77.5938,37509,100.0,2
Hebbal,13.0358,77.597,6758,21.203699651426128,3
Hebbal,13.0358,77.597,30209,100.0,3
Yeshwanthpur,13.0285,77.54,20375,58.38210538138319,4
Yeshwanthpur,13.0285,77.54,15636,48.93607080506035,4
Indiranagar,12.9719,77.6412,23457,87.20214293875112,0
Indiranagar,12.9719,77.6412,38925,100.0,0
Whitefield,12.9698,77.75,9154,40.23335460979075,1
Whitefield,12.9698,77.75,24968,84.89404196860987,1
Koramangala,12.9352,77.6245,51459,100.0,2
Koramangala,12.9352,77.6245,28481,100.0,2
Jayanagar,12.925,77.5938,10179,26.938337822070565,2
Indiranagar,12.9719,77.6412,46199,100.0,0
Indiranagar,12.9719,77.6412,56242,100.0,0
Whitefield,12.9698,77.75,20450,65.13177600713266,1
Whitefield,12.9698,77.75,13391,37.21426110487965,1
Koramangala,12.9352,77.6245,28369,86.33738400847444,2
Koramangala,12.9352,77.6245,31228,97.78375372046088,2
Jayanagar,12.925,77.5938,16342,46.07800824656617,2
Yeshwanthpur,13.0285,77.54,19306,64.50554090702242,4
Yeshwanthpur,13.0285,77.54,16012,57.00338777781191,4
Indiranagar,12.9719,77.6412,49952,100.0,0
Indiranagar,12.9719,77.6412,33970,100.0,0
Whitefield,12.9698,77.75,17018,64.60451832768582,1
Koramangala,12.9352,77.6245,58920,100.0,2
Koramangala,12.9352,77.6245,46963,100.0,2
Jayanagar,12.925,77.5938,18111,58.35005407740261,2
Jayanagar,12.925,77.5938,22491,67.787140407596,2
Hebbal,13.0358,77.597,38924,100.0,3
Yeshwanthpur,13.0285,77.54,25165,82.6985882720979,4
Yeshwanthpur,13.0285,77.54,15871,47.34277657199232,4
Indiranagar,12.9719,77.6412,46556,100.0,0
Indiranagar,12.9719,77.6412,22591,70.66460614979086,0
Whitefield,12.9698,77.75,20310,60.48712148145648,1
Koramangala,12.9352,77.6245,61024,100.0,2
Koramangala,12.9352,77.6245,28153,98.22425143701824,2
Jayanagar,12.925,77.5938,40516,100.0,2
Hebbal,13.0358,77.597,22893,78.82782752874019,3
Hebbal,13.0358,77.597,28470,97.4501092643674,3
Yeshwanthpur,13.0285,77.54,6965,26.80961232052806,4
Yeshwanthpur,13.0285,77.54,32668,100.0,4
Indiranagar,12.9719,77.6412,24405,82.95172415675621,0
Indiranagar,12.9719,77.6412,25768,85.81084803490874,0
Whitefield,12.9698,77.75,34362,100.0,1
Electronic City,12.8452,77.66,12382,36.46940495461653,5
Jayanagar,12.925,77.5938,21131,69.35472079420164,2
Hebbal,13.0358,77.597,39110,100.0,3
Hebbal,13.0358,77.597,42022,100.0,3
Indiranagar,12.9719,77.6412,36384,100.0,0
Indiranagar,12.9719,77.6412,11033,46.5099185320096,0
Whitefield,12.9698,77.75,16390,60.64506731551499,1
Koramangala,12.9352,77.6245,65269,100.0,2
Electronic City,12.8452,77.66,17926,64.13736889877862,5
Jayanagar,12.925,77.5938,30323,93.69413988103364,2
Yeshwanthpur,13.0285,77.54,13356,50.63340305900106,4
Indiranagar,12.9719,77.6412,38748,100.0,0
Whitefield,12.9698,77.75,34188,100.0,1
Koramangala,12.9352,77.6245,32010,100.0,2
Koramangala,12.9352,77.6245,13903,50.25267746713058,2
Jayanagar,12.925,77.5938,14614,44.85913263185906,2
Hebbal,13.0358,77.597,28195,95.3295777259114,3
Indiranagar,12.9719,77.6412,43024,100.0,0
Indiranagar,12.9719,77.6412,13224,38.71894192231952,0
Koramangala,12.9352,77.6245,31137,99.27321333119612,2
Koramangala,12.9352,77.6245,60935,100.0,2
Jayanagar,12.925,77.5938,28165,100.0,2
Jayanagar,12.925,77.5938,28609,92.28532786408904,2
Hebbal,13.0358,77.597,18780,55.30332578309645,3
Hebbal,13.0358,77.597,27100,81.5603258755467,3
Yeshwanthpur,13.0285,77.54,16397,55.1974959448997,4
Indiranagar,12.9719,77.6412,11423,33.272930841567344,0
Indiranagar,12.9719,77.6412,10806,40.767141547756,0
Whitefield,12.9698,77.75,40629,100.0,1
Koramangala,12.9352,77.6245,14197,44.31739792825032,2
Electronic City,12.8452,77.66,13734,38.20772836318813,5
Jayanagar,12.925,77.5938,35331,100.0,2
Hebbal,13.0358,77.597,31483,100.0,3
Yeshwanthpur,13.0285,77.54,24863,83.9783656527124,4
Indiranagar,12.9719,77.6412,37767,100.0,0
Whitefield,12.9698,77.75,29583,100.0,1
Whitefield,12.9698,77.75,14566,42.96557238755756,1
Koramangala,12.9352,77.6245,43533,100.0,2
Electronic City,12.8452,77.66,19320,56.0120302751425,5
Jayanagar,12.925,77.5938,21711,62.806467935509794,2
Hebbal,13.0358,77.597,31399,100.0,3
Yeshwanthpur,13.0285,77.54,18517,61.41725907593427,4
Indiranagar,12.9719,77.6412,11371,31.197460401979253,0
Indiranagar,12.9719,77.6412,11938,40.56736929238761,0
Koramangala,12.9352,77.6245,55123,100.0,2
Jayanagar,12.925,77.5938,17216,62.36319340593279,2
Hebbal,13.0358,77.597,19195,59.56885510242154,3
Indiranagar,12.9719,77.6412,24545,74.0364560509363,0
Koramangala,12.9352,77.6245,56258,100.0,2
Koramangala,12.9352,77.6245,32100,97.96285671956709,2
Electronic City,12.8452,77.66,6265,28.46291133897868,5
Jayanagar,12.925,77.5938,28132,91.71363415807716,2
Hebbal,13.0358,77.597,16393,58.92398622267046,3
Yeshwanthpur,13.0285,77.54,9696,30.69895580374951,4
Yeshwanthpur,13.0285,77.54,21620,76.54612777598854,4
Indiranagar,12.9719,77.6412,20081,69.98249963850546,0
Indiranagar,12.9719,77.6412,40722,100.0,0
Koramangala,12.9352,77.6245,13316,46.50225165572048,2
Electronic City,12.8452,77.66,4901,21.4609389456702,5
Jayanagar,12.925,77.5938,14041,39.587267360247246,2
Jayanagar,12.925,77.5938,11644,48.09391027664361,2
Hebbal,13.0358,77.597,29959,100.0,3
Indiranagar,12.9719,77.6412,37666,100.0,0
Indiranagar,12.9719,77.6412,33681,100.0,0
Koramangala,12.9352,77.6245,47091,100.0,2
Jayanagar,12.925,77.5938,28429,95.81335268149112,2
Jayanagar,12.925,77.5938,8373,32.04952974911433,2
Hebbal,13.0358,77.597,29521,100.0,3
Indiranagar,12.9719,77.6412,43778,100.0,0
Indiranagar,12.9719,77.6412,11546,45.49362668906458,0
Whitefield,12.9698,77.75,28643,89.46097216454773,1
Koramangala,12.9352,77.6245,14771,47.32246161176405,2
Jayanagar,12.925,77.5938,38680,100.0,2
Indiranagar,12.9719,77.6412,22675,78.03160616465328,0
Whitefield,12.9698,77.75,24990,76.2460608855794,1
Koramangala,12.9352,77.6245,43308,100.0,2
Hebbal,13.0358,77.597,29980,90.17539566885549,3
Hebbal,13.0358,77.597,27611,87.81436544484997,3
Yeshwanthpur,13.0285,77.54,25136,78.5946449245368,4
Indiranagar,12.9719,77.6412,37647,100.0,0
Indiranagar,12.9719,77.6412,24022,86.29090495349169,0
Whitefield,12.9698,77.75,21972,67.76250662499345,1
Koramangala,12.9352,77.6245,32388,100.0,2
Jayanagar,12.925,77.5938,35758,100.0,2
Jayanagar,12.925,77.5938,34084,100.0,2
Hebbal,13.0358,77.597,22499,79.65064767847228,3
Indiranagar,12.9719,77.6412,34920,100.0,0
Indiranagar,12.9719,77.6412,34071,100.0,0
Whitefield,12.9698,77.75,9673,27.59137389048416,1
Koramangala,12.9352,77.6245,29570,100.0,2
Koramangala,12.9352,77.6245,56542,100.0,2
Electronic City,12.8452,77.66,12718,37.36085854072934,5
Yeshwanthpur,13.0285,77.54,23607,70.05917438667156,4
Indiranagar,12.9719,77.6412,37614,100.0,0
Indiranagar,12.9719,77.6412,32230,100.0,0
Whitefield,12.9698,77.75,21898,70.06911650806205,1
Koramangala,12.9352,77.6245,63687,100.0,2
Jayanagar,12.925,77.5938,18866,60.72385413042719,2
Hebbal,13.0358,77.597,10280,40.69443392468055,3
Yeshwanthpur,13.0285,77.54,13448,54.18798290768184,4
Yeshwanthpur,13.0285,77.54,17523,62.58531310458308,4
Indiranagar,12.9719,77.6412,38113,100.0,0
Indiranagar,12.9719,77.6412,38352,100.0,0
Koramangala,12.9352,77.6245,14092,50.16354870614874,2
Koramangala,12.9352,77.6245,26948,93.06604556254403,2
Electronic City,12.8452,77.66,18286,68.91171707248665,5
Jayanagar,12.925,77.5938,35174,100.0,2
Yeshwanthpur,13.0285,77.54,16461,58.97278291141127,4
Indiranagar,12.9719,77.6412,32690,100.0,0
Indiranagar,12.9719,77.6412,25259,79.92705764520912,0
Whitefield,12.9698,77.75,33372,100.0,1
Electronic City,12.8452,77.66,14390,40.560246231151375,5
Jayanagar,12.925,77.5938,25726,92.94922682956624,2
Hebbal,13.0358,77.597,34430,100.0,3
Yeshwanthpur,13.0285,77.54,22204,77.46862562158267,4
Indiranagar,12.9719,77.6412,12829,38.5925516032092,0
Indiranagar,12.9719,77.6412,45895,100.0,0
Whitefield,12.9698,77.75,5915,12.930258360903569,1
Whitefield,12.9698,77.75,37716,100.0,1
Koramangala,12.9352,77.6245,62021,100.0,2
Koramangala,12.9352,77.6245,13360,51.22476913844589,2
Jayanagar,12.925,77.5938,24526,78.5954857506052,2
Jayanagar,12.925,77.5938,19822,70.73333547778579,2
Hebbal,13.0358,77.597,46065,100.0,3
Yeshwanthpur,13.0285,77.54,7129,18.293765854055444,4
Indiranagar,12.9719,77.6412,20961,64.29477392892129,0
Indiranagar,12.9719,77.6412,24321,85.36506552887892,0
Koramangala,12.9352,77.6245,29069,93.99462033639774,2
Electronic City,12.8452,77.66,19060,71.86174422397465,5
Hebbal,13.0358,77.597,30220,100.0,3
Yeshwanthpur,13.0285,77.54,16992,48.322553245187656,4
Indiranagar,12.9719,77.6412,22812,77.5189973213802,0
Whitefield,12.9698,77.75,25420,82.22777274348087,1
Koramangala,12.9352,77.6245,47525,100.0,2
Electronic City,12.8452,77.66,10387,38.21727767000024,5
Yeshwanthpur,13.0285,77.54,17057,53.46236001670836,4
Indiranagar,12.9719,77.6412,50653,100.0,0
Indiranagar,12.9719,77.6412,30838,98.31178722094428,0
Whitefield,12.9698,77.75,23141,73.77609676138358,1
Whitefield,12.9698,77.75,24554,81.85223737082187,1
Koramangala,12.9352,77.6245,45333,100.0,2
Koramangala,12.9352,77.6245,39089,100.0,2
Electronic City,12.8452,77.66,7170,25.214899012265786,5
Electronic City,12.8452,77.66,11936,47.259037241410965,5
Jayanagar,12.925,77.5938,30365,92.93730980732552,2
Hebbal,13.0358,77.597,21672,73.90260438199168,3
Hebbal,13.0358,77.597,26920,93.2465913774748,3
Indiranagar,12.9719,77.6412,22144,72.10984644376038,0
Indiranagar,12.9719,77.6412,33499,100.0,0
Whitefield,12.9698,77.75,23387,70.82605580702706,1
Koramangala,12.9352,77.6245,61743,100.0,2
Electronic City,12.8452,77.66,17296,56.50488025198965,5
Jayanagar,12.925,77.5938,44414,100.0,2
Yeshwanthpur,13.0285,77.54,12421,44.81202000927168,4
Indiranagar,12.9719,77.6412,21212,64.28729941549834,0
Indiranagar,12.9719,77.6412,46015,100.0,0
Whitefield,12.9698,77.75,17369,67.82719284263905,1
Koramangala,12.9352,77.6245,41459,100.0,2
Koramangala,12.9352,77.6245,47061,100.0,2
Electronic City,12.8452,77.66,18698,60.4739771509233,5
Hebbal,13.0358,77.597,38893,100.0,3
Yeshwanthpur,13.0285,77.54,23280,75.47110672212632,4
Yeshwanthpur,13.0285,77.54,14218,52.41891182080867,4
Indiranagar,12.9719,77.6412,46490,100.0,0
Indiranagar,12.9719,77.6412,24746,91.53440171464116,0
Whitefield,12.9698,77.75,7796,23.65460948783185,1
Koramangala,12.9352,77.6245,64872,100.0,2
Koramangala,12.9352,77.6245,41932,100.0,2
Electronic City,12.8452,77.66,6995,21.76051134428023,5
Jayanagar,12.925,77.5938,33230,100.0,2
Hebbal,13.0358,77.597,25736,92.1640520770761,3
Hebbal,13.0358,77.597,15848,61.89472425430857,3
Yeshwanthpur,13.0285,77.54,29940,100.0,4
Yeshwanthpur,13.0285,77.54,11222,30.60426193399549,4
Indiranagar,12.9719,77.6412,22992,85.75298934532978,0
Indiranagar,12.9719,77.6412,39591,100.0,0
Whitefield,12.9698,77.75,14771,52.09256807679285,1
Whitefield,12.9698,77.75,22903,71.1594096547968,1
Koramangala,12.9352,77.6245,62650,100.0,2
Jayanagar,12.925,77.5938,27478,96.42587908237113,2
Hebbal,13.0358,77.597,19766,75.23209047407262,3
Yeshwanthpur,13.0285,77.54,21544,76.37566208005666,4
Indiranagar,12.9719,77.6412,34763,100.0,0
Indiranagar,12.9719,77.6412,26233,90.78188228250694,0
Whitefield,12.9698,77.75,16695,64.10207514187915,1
Koramangala,12.9352,77.6245,67693,100.0,2
Koramangala,12.9352,77.6245,42409,100.0,2
Electronic City,12.8452,77.66,21532,70.20758568385168,5
Jayanagar,12.925,77.5938,38802,100.0,2
Yeshwanthpur,13.0285,77.54,15527,45.43756210767093,4
Indiranagar,12.9719,77.6412,25267,82.73344651877018,0
Indiranagar,12.9719,77.6412,43605,100.0,0
Koramangala,12.9352,77.6245,64219,100.0,2
Electronic City,12.8452,77.66,16635,46.59783687376547,5
Jayanagar,12.925,77.5938,19972,61.12296540720412,2
Hebbal,13.0358,77.597,9027,20.87723759639459,3
Yeshwanthpur,13.0285,77.54,26775,91.55139508029396,4
Yeshwanthpur,13.0285,77.54,22482,71.26914261748833,4
Indiranagar,12.9719,77.6412,27713,97.03987422940266,0
Indiranagar,12.9719,77.6412,36829,100.0,0
Whitefield,12.9698,77.75,28961,96.6267251477634,1
Koramangala,12.9352,77.6245,12738,37.339906047049446,2
Electronic City,12.8452,77.66,13279,44.08372858671154,5
Jayanagar,12.925,77.5938,7862,31.76122486802253,2
Yeshwanthpur,13.0285,77.54,26137,91.66370387361602,4
Indiranagar,12.9719,77.6412,36972,100.0,0
Indiranagar,12.9719,77.6412,25298,89.68195902095343,0
Whitefield,12.9698,77.75,22498,67.90364298908052,1
Whitefield,12.9698,77.75,7392,22.341161114379236,1
Koramangala,12.9352,77.6245,32160,100.0,2
Koramangala,12.9352,77.6245,16081,52.79020644521247,2
Jayanagar,12.925,77.5938,27932,86.95652967938321,2
Jayanagar,12.925,77.5938,20299,58.6434262327588,2
Hebbal,13.0358,77.597,21700,74.90027568432222,3
Yeshwanthpur,13.0285,77.54,21598,73.58919020999242,4
Indiranagar,12.9719,77.6412,34232,100.0,0
Whitefield,12.9698,77.75,33173,100.0,1
Koramangala,12.9352,77.6245,27712,84.32553409551316,2
Koramangala,12.9352,77.6245,64361,100.0,2
Jayanagar,12.925,77.5938,32454,99.5256922584303,2
Hebbal,13.0358,77.597,29267,100.0,3
Yeshwanthpur,13.0285,77.54,13430,42.332978809971856,4
Yeshwanthpur,13.0285,77.54,20982,68.85773239719616,4
Indiranagar,12.9719,77.6412,37265,100.0,0
Indiranagar,12.9719,77.6412,23468,71.10418977446227,0
Koramangala,12.9352,77.6245,32192,100.0,2
Koramangala,12.9352,77.6245,44299,100.0,2
Jayanagar,12.925,77.5938,15112,57.96119446947725,2
Hebbal,13.0358,77.597,27021,95.4646283659376,3
Hebbal,13.0358,77.597,38147,100.0,3
Indiranagar,12.9719,77.6412,48104,100.0,0
Indiranagar,12.9719,77.6412,33627,100.0,0
Whitefield,12.9698,77.75,8584,33.01326938588226,1
Koramangala,12.9352,77.6245,27633,96.1169577773314,2
Jayanagar,12.925,77.5938,28978,87.63891539870852,2
Hebbal,13.0358,77.597,39749,100.0,3
Indiranagar,12.9719,77.6412,22330,75.22656911139637,0
Indiranagar,12.9719,77.6412,45752,100.0,0
Whitefield,12.9698,77.75,14625,48.52901852876904,1
Whitefield,12.9698,77.75,13319,53.79900439503531,1
Koramangala,12.9352,77.6245,29150,88.6171130057563,2
Koramangala,12.9352,77.6245,31341,97.53825764778176,2
Jayanagar,12.925,77.5938,32244,100.0,2
Hebbal,13.0358,77.597,21046,77.51529653067459,3
Hebbal,13.0358,77.597,20878,66.82869957178465,3
Indiranagar,12.9719,77.6412,11122,27.82465792421295,0
Indiranagar,12.9719,77.6412,39145,100.0,0
Whitefield,12.9698,77.75,30103,99.65784488668328,1
Koramangala,12.9352,77.6245,15731,60.23339454843288,2
Koramangala,12.9352,77.6245,16508,64.83952141011025,2
Electronic City,12.8452,77.66,19133,72.5904704211313,5
Hebbal,13.0358,77.597,40230,100.0,3
Hebbal,13.0358,77.597,29597,97.14410718773937,3
Yeshwanthpur,13.0285,77.54,6726,28.572517391259503,4
Indiranagar,12.9719,77.6412,25264,77.95147926233568,0
Whitefield,12.9698,77.75,17493,60.4494623254853,1
Koramangala,12.9352,77.6245,15794,43.70538537804303,2
Koramangala,12.9352,77.6245,44625,100.0,2
Electronic City,12.8452,77.66,15594,45.80124278692717,5
Jayanagar,12.925,77.5938,16311,54.403983320128496,2
Jayanagar,12.925,77.5938,23831,79.9301128003791,2
Indiranagar,12.9719,77.6412,44136,100.0,0
Indiranagar,12.9719,77.6412,22683,72.52254074072317,0
Whitefield,12.9698,77.75,36452,100.0,1
Whitefield,12.9698,77.75,34393,100.0,1
Electronic City,12.8452,77.66,15723,43.92054172051774,5
Jayanagar,12.925,77.5938,29999,99.06499127915204,2
Indiranagar,12.9719,77.6412,23302,86.90556217842227,0
Indiranagar,12.9719,77.6412,32273,100.0,0
Whitefield,12.9698,77.75,25826,80.03151999000701,1
Koramangala,12.9352,77.6245,29289,96.60702731304004,2
Electronic City,12.8452,77.66,21483,80.76533316352445,5
Jayanagar,12.925,77.5938,18837,61.111413408173725,2
Hebbal,13.0358,77.597,23998,78.05410849147599,3
Hebbal,13.0358,77.597,41557,100.0,3
Yeshwanthpur,13.0285,77.54,24552,82.46679906473219,4
Indiranagar,12.9719,77.6412,40743,100.0,0
Indiranagar,12.9719,77.6412,22426,83.32348837220891,0
Whitefield,12.9698,77.75,14663,44.470143797595526,1
Koramangala,12.9352,77.6245,41833,100.0,2
Electronic City,12.8452,77.66,29805,89.75682163764355,5
Jayanagar,12.925,77.5938,20320,62.46599596273352,2
Hebbal,13.0358,77.597,29493,92.13554742074794,3
Hebbal,13.0358,77.597,9063,25.86334721082318,3
Yeshwanthpur,13.0285,77.54,21614,77.12294092623405,4
Indiranagar,12.9719,77.6412,40343,100.0,0
Whitefield,12.9698,77.75,22537,80.54782963914141,1
Koramangala,12.9352,77.6245,42146,100.0,2
Koramangala,12.9352,77.6245,50133,100.0,2
Electronic City,12.8452,77.66,18175,60.05203200521432,5
Jayanagar,12.925,77.5938,17359,54.27757663301921,2
Hebbal,13.0358,77.597,17508,59.25763372058787,3
Hebbal,13.0358,77.597,31711,96.51504757602724,3
Indiranagar,12.9719,77.6412,41665,100.0,0
Whitefield,12.9698,77.75,16914,54.305545249834005,1
Whitefield,12.9698,77.75,20230,77.13191550216317,1
Koramangala,12.9352,77.6245,64412,100.0,2
Jayanagar,12.925,77.5938,8109,24.837528920939075,2
Jayanagar,12.925,77.5938,16685,48.16482810057525,2
Hebbal,13.0358,77.597,25045,85.56343328812333,3
Indiranagar,12.9719,77.6412,38008,100.0,0
Indiranagar,12.9719,77.6412,36303,100.0,0
Koramangala,12.9352,77.6245,31288,100.0,2
Koramangala,12.9352,77.6245,50020,100.0,2
Jayanagar,12.925,77.5938,28340,84.63376075010945,2
Jayanagar,12.925,77.5938,18997,55.67447831575206,2
Hebbal,13.0358,77.597,31403,100.0,3
Hebbal,13.0358,77.597,35289,100.0,3
Yeshwanthpur,13.0285,77.54,5034,12.033866197600103,4
Indiranagar,12.9719,77.6412,35163,100.0,0
Indiranagar,12.9719,77.6412,43926,100.0,0
Whitefield,12.9698,77.75,15317,59.776550246702215,1
Koramangala,12.9352,77.6245,48663,100.0,2
Electronic City,12.8452,77.66,17511,59.21773120380877,5
Electronic City,12.8452,77.66,19529,64.36448684275959,5
Jayanagar,12.925,77.5938,27443,99.96103536351988,2
Jayanagar,12.925,77.5938,33130,100.0,2
Yeshwanthpur,13.0285,77.54,17158,64.32793226345127,4
Indiranagar,12.9719,77.6412,33207,100.0,0
Indiranagar,12.9719,77.6412,33978,100.0,0
Whitefield,12.9698,77.75,20583,66.35100023869774,1
Koramangala,12.9352,77.6245,27828,92.8314014880711,2
Koramangala,12.9352,77.6245,61164,100.0,2
Electronic City,12.8452,77.66,5395,23.368344518165067,5
Jayanagar,12.925,77.5938,39242,100.0,2
Jayanagar,12.925,77.5938,16554,49.37038448625064,2
Hebbal,13.0358,77.597,36221,100.0,3
Yeshwanthpur,13.0285,77.54,19387,59.53596481430962,4
Yeshwanthpur,13.0285,77.54,23920,76.45958788343245,4
Indiranagar,12.9719,77.6412,38723,100.0,0
Indiranagar,12.9719,77.6412,14098,47.63942061029665,0
Whitefield,12.9698,77.75,26527,88.41570157330857,1
Koramangala,12.9352,77.6245,14634,50.951431863479485,2
Koramangala,12.9352,77.6245,59067,100.0,2
Electronic City,12.8452,77.66,11020,27.778706684565265,5
Jayanagar,12.925,77.5938,21510,76.36803698669812,2
Jayanagar,12.925,77.5938,28206,85.9583465413399,2
Indiranagar,12.9719,77.6412,39196,100.0,0
Koramangala,12.9352,77.6245,30290,100.0,2
Koramangala,12.9352,77.6245,15019,53.92752417771069,2
Electronic City,12.8452,77.66,16413,53.07898994350917,5
Jayanagar,12.925,77.5938,30474,97.925104328994,2
Hebbal,13.0358,77.597,27359,84.32329543452344,3
Yeshwanthpur,13.0285,77.54,18570,53.69263546609236,4
Indiranagar,12.9719,77.6412,12061,39.17303789338601,0
Indiranagar,12.9719,77.6412,23213,87.09383547488542,0
Whitefield,12.9698,77.75,17194,50.90651911393158,1
Koramangala,12.9352,77.6245,46399,100.0,2
Electronic City,12.8452,77.66,19107,58.64864899611615,5
Jayanagar,12.925,77.5938,30217,100.0,2
Hebbal,13.0358,77.597,28502,92.7690958020366,3
Yeshwanthpur,13.0285,77.54,31246,100.0,4
Yeshwanthpur,13.0285,77.54,13816,53.75363982427851,4
Indiranagar,12.9719,77.6412,49188,100.0,0
Indiranagar,12.9719,77.6412,35250,100.0,0
Whitefield,12.9698,77.75,35905,100.0,1
Koramangala,12.9352,77.6245,30525,100.0,2
Jayanagar,12.925,77.5938,21742,62.71473203934569,2
Jayanagar,12.925,77.5938,21386,62.64259458322891,2
Hebbal,13.0358,77.597,18430,68.7478780754692,3
Hebbal,13.0358,77.597,37084,100.0,3
Yeshwanthpur,13.0285,77.54,13177,38.12119017943328,4
Indiranagar,12.9719,77.6412,22280,72.49488530187597,0
Indiranagar,12.9719,77.6412,34513,100.0,0
Whitefield,12.9698,77.75,23595,82.38300846708074,1
Koramangala,12.9352,77.6245,43085,100.0,2
Koramangala,12.9352,77.6245,47072,100.0,2
Jayanagar,12.925,77.5938,25501,81.39637457843935,2
Jayanagar,12.925,77.5938,38829,100.0,2
Yeshwanthpur,13.0285,77.54,20003,68.54887755559494,4
Yeshwanthpur,13.0285,77.54,21714,70.18132131495256,4
Indiranagar,12.9719,77.6412,48571,100.0,0
Indiranagar,12.9719,77.6412,31883,100.0,0
Whitefield,12.9698,77.75,24414,90.93425625651,1
Whitefield,12.9698,77.75,7779,32.18856810787874,1
Koramangala,12.9352,77.6245,28192,100.0,2
Electronic City,12.8452,77.66,13160,50.24881319022042,5
Jayanagar,12.925,77.5938,22044,64.08993095705509,2
Hebbal,13.0358,77.597,33503,100.0,3
Hebbal,13.0358,77.597,9831,38.61006252260391,3
Indiranagar,12.9719,77.6412,36474,100.0,0
Indiranagar,12.9719,77.6412,32188,100.0,0
Koramangala,12.9352,77.6245,27430,83.95604905924864,2
Koramangala,12.9352,77.6245,29623,92.7407928263222,2
Electronic City,12.8452,77.66,25746,77.68574769443936,5
Jayanagar,12.925,77.5938,17834,56.79014295529252,2
Hebbal,13.0358,77.597,28122,84.58668985036606,3
Indiranagar,12.9719,77.6412,10949,32.28023174379553,0
Indiranagar,12.9719,77.6412,36263,100.0,0
Koramangala,12.9352,77.6245,32421,100.0,2
Koramangala,12.9352,77.6245,14497,52.83112536656999,2
Jayanagar,12.925,77.5938,9531,38.85691965565431,2
Yeshwanthpur,13.0285,77.54,7816,33.57961273164351,4
Indiranagar,12.9719,77.6412,44916,100.0,0
