Area Name,lat,lon,zone_cluster
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,2
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Koramangala,12.9352,77.6245,0
Jayanagar,12.925,77.5938,2
Jayanagar,12.925,77.5938,2
Hebbal,13.0358,77.597,4
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,0
Koramangala,12.9352,77.6245,2
Jayanagar,12.925,77.5938,1
Jayanagar,12.925,77.5938,2
Hebbal,13.0358,77.597,4
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,0
Whitefield,12.9698,77.75,3
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Koramangala,12.9352,77.6245,2
Jayanagar,12.925,77.5938,1
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,0
Whitefield,12.9698,77.75,3
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,2
Koramangala,12.9352,77.6245,2
Jayanagar,12.925,77.5938,1
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,2
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Koramangala,12.9352,77.6245,0
Jayanagar,12.925,77.5938,1
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,2
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Koramangala,12.9352,77.6245,2
Jayanagar,12.925,77.5938,0
Hebbal,13.0358,77.597,4
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,2
Whitefield,12.9698,77.75,3
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,1
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,2
Indiranagar,12.9719,77.6412,0
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,2
Koramangala,12.9352,77.6245,1
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,1
Koramangala,12.9352,77.6245,2
Koramangala,12.9352,77.6245,0
Jayanagar,12.925,77.5938,2
Jayanagar,12.925,77.5938,2
Hebbal,13.0358,77.597,4
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,1
Indiranagar,12.9719,77.6412,1
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,1
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,2
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,0
Whitefield,12.9698,77.75,3
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,1
Indiranagar,12.9719,77.6412,1
Koramangala,12.9352,77.6245,0
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Koramangala,12.9352,77.6245,0
Koramangala,12.9352,77.6245,2
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,2
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,0
Koramangala,12.9352,77.6245,1
Electronic City,12.8452,77.66,1
Jayanagar,12.925,77.5938,1
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,2
Indiranagar,12.9719,77.6412,2
Koramangala,12.9352,77.6245,0
Jayanagar,12.925,77.5938,2
Jayanagar,12.925,77.5938,1
Hebbal,13.0358,77.597,4
Indiranagar,12.9719,77.6412,0
Indiranagar,12.9719,77.6412,1
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,1
Jayanagar,12.925,77.5938,2
Indiranagar,12.9719,77.6412,2
Whitefield,12.9698,77.75,3
Koramangala,12.9352,77.6245,0
Hebbal,13.0358,77.597,4
